,sim_num,date_quarantined,q_on_ind_on,q_on_ind_off,q_on_ind_on_off,q_off_ind_on,q_off_ind_off,q_off_ind_on_off
275,2,2020-10-31,0,0,0,0,0,0
276,2,2020-11-01,6,0,0,0,0,0
277,2,2020-11-02,11,0,0,0,0,0
278,2,2020-11-03,0,0,0,0,0,0
279,2,2020-11-04,13,0,0,0,0,0
280,2,2020-11-05,1,0,0,0,0,0
281,2,2020-11-06,6,0,0,0,0,0
282,2,2020-11-07,0,0,0,0,0,0
283,2,2020-11-08,0,0,0,0,0,0
284,2,2020-11-09,0,0,0,0,0,0
285,2,2020-11-10,0,0,0,0,1,0
286,2,2020-11-11,1,0,0,0,0,0
287,2,2020-11-12,5,0,0,0,0,0
288,2,2020-11-13,0,0,0,0,0,0
289,2,2020-11-14,2,0,0,1,0,0
290,2,2020-11-15,1,0,0,0,0,0
291,2,2020-11-16,3,0,0,0,0,0
292,2,2020-11-17,0,0,0,0,0,0
293,2,2020-11-18,0,0,0,0,0,0
294,2,2020-11-19,0,0,0,0,0,0
295,2,2020-11-20,0,0,0,0,0,0
296,2,2020-11-21,0,1,0,0,0,0
297,2,2020-11-22,0,0,0,0,0,0
298,2,2020-11-23,0,0,0,0,0,0
299,2,2020-11-24,0,0,0,0,0,0
300,2,2020-11-25,0,0,0,0,0,0
301,2,2020-11-26,0,0,0,0,0,0
302,2,2020-11-27,5,0,0,1,0,0
303,2,2020-11-28,2,0,0,0,0,0
304,2,2020-11-29,8,0,0,0,0,0
305,2,2020-11-30,0,0,0,0,0,0
306,2,2020-12-01,0,0,0,0,0,0
307,2,2020-12-02,1,0,0,0,0,0
308,2,2020-12-03,0,0,0,0,0,0
309,2,2020-12-04,1,0,0,1,0,0
310,2,2020-12-05,1,0,0,0,0,0
311,2,2020-12-06,0,0,0,0,0,0
312,2,2020-12-07,1,0,0,0,0,0
313,2,2020-12-08,2,0,0,0,0,0
314,2,2020-12-09,0,0,0,0,0,0
315,2,2020-12-10,0,0,0,0,0,0
316,2,2020-12-11,0,0,0,0,0,0
317,2,2020-12-12,1,0,0,0,0,0
318,2,2020-12-13,0,0,0,0,0,0
319,2,2020-12-14,0,0,0,0,0,0
320,2,2020-12-15,0,0,0,0,0,0
321,2,2020-12-16,0,0,0,0,0,0
322,2,2020-12-17,0,0,0,0,0,0
323,2,2020-12-18,0,0,0,0,0,0
324,3,2020-09-02,0,0,0,0,0,0
325,3,2020-09-03,0,0,0,0,0,0
326,3,2020-09-04,0,0,0,0,0,0
327,3,2020-09-05,0,0,0,0,0,0
328,3,2020-09-06,0,0,0,0,0,0
329,3,2020-09-07,0,0,0,0,0,0
330,3,2020-09-08,2,0,0,0,0,0
331,3,2020-09-09,5,0,0,0,0,0
332,3,2020-09-10,0,0,0,0,0,0
333,3,2020-09-11,0,0,0,0,0,0
334,3,2020-09-12,0,0,0,1,0,0
335,3,2020-09-13,0,0,0,0,0,0
336,3,2020-09-14,6,0,0,0,0,0
337,3,2020-09-15,1,0,0,0,0,0
338,3,2020-09-16,0,0,0,0,0,0
339,3,2020-09-17,1,0,0,0,0,0
340,3,2020-09-18,1,0,0,0,0,0
341,3,2020-09-19,0,0,0,0,0,0
342,3,2020-09-20,2,0,0,0,0,0
343,3,2020-09-21,11,0,0,0,0,0
344,3,2020-09-22,0,0,0,0,0,0
345,3,2020-09-23,4,0,0,0,0,0
346,3,2020-09-24,0,0,0,0,0,0
347,3,2020-09-25,0,0,0,0,0,0
348,3,2020-09-26,17,0,0,0,0,0
349,3,2020-09-27,0,0,0,0,0,0
350,3,2020-09-28,1,0,0,0,0,0
351,3,2020-09-29,0,0,0,0,0,0
352,3,2020-09-30,0,0,0,0,0,0
353,3,2020-10-01,11,0,0,0,0,0
354,3,2020-10-02,2,0,0,0,0,0
355,3,2020-10-03,0,0,0,0,0,0
356,3,2020-10-04,1,0,0,0,0,0
357,3,2020-10-05,0,0,0,0,0,0
358,3,2020-10-06,0,0,0,0,0,0
359,3,2020-10-07,0,0,0,0,0,0
360,3,2020-10-08,0,0,0,0,0,0
361,3,2020-10-09,2,0,0,0,0,0
362,3,2020-10-10,1,0,0,0,0,0
363,3,2020-10-11,1,0,0,0,0,0
364,3,2020-10-12,3,0,0,0,0,0
365,3,2020-10-13,0,0,0,0,0,0
366,3,2020-10-14,1,0,0,0,0,0
367,3,2020-10-15,0,0,0,0,0,0
368,3,2020-10-16,0,0,0,0,0,0
369,3,2020-10-17,0,0,0,0,0,0
370,3,2020-10-18,0,0,0,0,0,0
371,3,2020-10-19,0,0,0,0,0,0
372,3,2020-10-20,0,0,0,0,0,0
373,3,2020-10-21,0,0,0,0,0,0
374,3,2020-10-22,0,0,0,0,0,0
375,3,2020-10-23,0,0,0,0,0,0
376,3,2020-10-24,0,0,0,0,0,0
377,3,2020-10-25,0,0,0,0,0,0
378,3,2020-10-26,0,0,0,0,0,0
379,3,2020-10-27,3,0,0,1,0,0
380,3,2020-10-28,0,0,0,0,0,0
381,3,2020-10-29,0,0,0,0,0,0
382,3,2020-10-30,0,0,0,0,0,0
383,3,2020-10-31,0,0,0,0,0,0
384,3,2020-11-01,1,0,0,0,0,0
385,3,2020-11-02,2,0,0,0,0,0
